customValue,pubkey,foundInMapping,lnaddressFromMapping,nameIfPresent,sourceFile
01j22NRbCjpBuGpakH5L54,03b6f613e88bd874177c28c6ad83b3baba43c4c656f56be1f8df84669556054b79,yes,[object Object],crimefoulplay@fountain.fm,data/podcast-value-feeds-2025-10-01.json
01KoaOmZZ1gkLwwQPG6Wcq,03b6f613e88bd874177c28c6ad83b3baba43c4c656f56be1f8df84669556054b79,yes,[object Object],k100konnan@fountain.fm,data/podcast-value-feeds-2025-10-01.json
01nDbFcdLS8pGWbn37xuOF,03b6f613e88bd874177c28c6ad83b3baba43c4c656f56be1f8df84669556054b79,yes,[object Object],kcc@fountain.fm,data/podcast-value-feeds-2025-10-01.json
SQLQ8XKpeOAseOUmZGCr,030a58b8653d32b99200a2334cfe913e51dc7d155aa0116c176657a4f1722677a3,no,,Dave Jackson,data/podcast-value-feeds-2025-10-01.json
01UfGlnPH1LAGHPwnITGXX,03b6f613e88bd874177c28c6ad83b3baba43c4c656f56be1f8df84669556054b79,yes,[object Object],starshipalves@fountain.fm,data/podcast-value-feeds-2025-10-01.json
01ngteJuD51uXjil8jrkLx,03b6f613e88bd874177c28c6ad83b3baba43c4c656f56be1f8df84669556054b79,yes,[object Object],user91480364@fountain.fm,data/podcast-value-feeds-2025-10-01.json
01TCYBnIZ3HNoEpEMUrOqm,03b6f613e88bd874177c28c6ad83b3baba43c4c656f56be1f8df84669556054b79,yes,[object Object],gamequitters@fountain.fm,data/podcast-value-feeds-2025-10-01.json
01ynxGhHj6gzBA9WwbvnDv,03b6f613e88bd874177c28c6ad83b3baba43c4c656f56be1f8df84669556054b79,yes,[object Object],konsensuspodden@fountain.fm,data/podcast-value-feeds-2025-10-01.json
01eeGjHq3KR4OfOLNI7uYh,03b6f613e88bd874177c28c6ad83b3baba43c4c656f56be1f8df84669556054b79,yes,[object Object],borjagiron@fountain.fm,data/podcast-value-feeds-2025-10-01.json
wal_ir1VWC4pO7OH9,0332d57355d673e217238ce3e4be8491aa6b2a13f95494133ee243e57df1653ace,no,,@shaunpmartin on Fountain,data/podcast-value-feeds-2025-10-01.json
01OV9Tb4dSwviLx3aMygaY,03b6f613e88bd874177c28c6ad83b3baba43c4c656f56be1f8df84669556054b79,yes,[object Object],ypclayconry@fountain.fm,data/podcast-value-feeds-2025-10-01.json
wal_TgKuMbHKGfqYr6,0332d57355d673e217238ce3e4be8491aa6b2a13f95494133ee243e57df1653ace,no,,@user2986104081796608 on Fountain,data/podcast-value-feeds-2025-10-01.json
01i8uUapaSMxUDNvhni4fF,03b6f613e88bd874177c28c6ad83b3baba43c4c656f56be1f8df84669556054b79,yes,[object Object],rosswinn@fountain.fm,data/podcast-value-feeds-2025-10-01.json
01vHBh8mmvay9CmdAzChf6,03b6f613e88bd874177c28c6ad83b3baba43c4c656f56be1f8df84669556054b79,yes,[object Object],markjhayward@fountain.fm,data/podcast-value-feeds-2025-10-01.json
01iRTx50jpT1T6wG5S7nSE,03b6f613e88bd874177c28c6ad83b3baba43c4c656f56be1f8df84669556054b79,yes,[object Object],besiuk@fountain.fm,data/podcast-value-feeds-2025-10-01.json
01tYQBt18PotvymEzFg0pi,03b6f613e88bd874177c28c6ad83b3baba43c4c656f56be1f8df84669556054b79,yes,[object Object],starquestmedia@fountain.fm,data/podcast-value-feeds-2025-10-01.json
01yjZW5Txnkrl4ZR5hLZLQ,03b6f613e88bd874177c28c6ad83b3baba43c4c656f56be1f8df84669556054b79,yes,[object Object],user37693365@fountain.fm,data/podcast-value-feeds-2025-10-01.json
01V4DSDwJAWkFyBde50Ndd,03b6f613e88bd874177c28c6ad83b3baba43c4c656f56be1f8df84669556054b79,yes,[object Object],dinglebop@fountain.fm,data/podcast-value-feeds-2025-10-01.json
011yFP8rZ1Jnw0MvFi30Nj,03b6f613e88bd874177c28c6ad83b3baba43c4c656f56be1f8df84669556054b79,yes,[object Object],johnandersonac@fountain.fm,data/podcast-value-feeds-2025-10-01.json
01t97BxifkFltNAZJlf1JT,03b6f613e88bd874177c28c6ad83b3baba43c4c656f56be1f8df84669556054b79,yes,[object Object],wddimpodcast@fountain.fm,data/podcast-value-feeds-2025-10-01.json
015RNYxjGqLpuDTFSE8Adz,03b6f613e88bd874177c28c6ad83b3baba43c4c656f56be1f8df84669556054b79,yes,[object Object],mattcundill@fountain.fm,data/podcast-value-feeds-2025-10-01.json
01JPIoA7Ri9LGMAAIkQmRd,03b6f613e88bd874177c28c6ad83b3baba43c4c656f56be1f8df84669556054b79,yes,[object Object],ostanasuntoja@fountain.fm,data/podcast-value-feeds-2025-10-01.json
01uX8Xu59bA0ntKEj8L8tq,03b6f613e88bd874177c28c6ad83b3baba43c4c656f56be1f8df84669556054b79,yes,[object Object],user33070451@fountain.fm,data/podcast-value-feeds-2025-10-01.json
01hnzvVpvYxypkveTxy9GY,03b6f613e88bd874177c28c6ad83b3baba43c4c656f56be1f8df84669556054b79,yes,[object Object],user56212527@fountain.fm,data/podcast-value-feeds-2025-10-01.json
01B6ih5xeio3r7cIKWbz25,03b6f613e88bd874177c28c6ad83b3baba43c4c656f56be1f8df84669556054b79,yes,[object Object],user39001687@fountain.fm,data/podcast-value-feeds-2025-10-01.json
EciJ6TdmJL7VzCUqS3gO,030a58b8653d32b99200a2334cfe913e51dc7d155aa0116c176657a4f1722677a3,no,,Anita Posch,data/podcast-value-feeds-2025-10-01.json
j0Kda7LLQPtmZ5dWwJfI,030a58b8653d32b99200a2334cfe913e51dc7d155aa0116c176657a4f1722677a3,no,,BTCPodcasting.com,data/podcast-value-feeds-2025-10-01.json
01dAxC5WmtsElHNF7dckmf,03b6f613e88bd874177c28c6ad83b3baba43c4c656f56be1f8df84669556054b79,yes,[object Object],anthonyg@fountain.fm,data/podcast-value-feeds-2025-10-01.json
01qlVYhzFA7pIu5k3uI6w4,03b6f613e88bd874177c28c6ad83b3baba43c4c656f56be1f8df84669556054b79,yes,[object Object],kfinn@fountain.fm,data/podcast-value-feeds-2025-10-01.json
0166bgWKbOubPYUUOAslHe,03b6f613e88bd874177c28c6ad83b3baba43c4c656f56be1f8df84669556054b79,yes,[object Object],lionsuit@fountain.fm,data/podcast-value-feeds-2025-10-01.json
wQPURij0TgzQZUEwqsew,030a58b8653d32b99200a2334cfe913e51dc7d155aa0116c176657a4f1722677a3,no,,oncetold@getalby.com,data/podcast-value-feeds-2025-10-01.json
01k8XbDKFBh6lTGEYy2x5h,03b6f613e88bd874177c28c6ad83b3baba43c4c656f56be1f8df84669556054b79,yes,[object Object],smtibor@fountain.fm,data/podcast-value-feeds-2025-10-01.json
01nARlihc2VpZsI6AmUgsb,03b6f613e88bd874177c28c6ad83b3baba43c4c656f56be1f8df84669556054b79,yes,[object Object],tokteacher@fountain.fm,data/podcast-value-feeds-2025-10-01.json
01x1rPod3WLga506t50wt5,03b6f613e88bd874177c28c6ad83b3baba43c4c656f56be1f8df84669556054b79,yes,[object Object],sanderbruijs@fountain.fm,data/podcast-value-feeds-2025-10-01.json
01arUy6r47tNp5UY6290gN,03b6f613e88bd874177c28c6ad83b3baba43c4c656f56be1f8df84669556054b79,yes,[object Object],compass_podcast@fountain.fm,data/podcast-value-feeds-2025-10-01.json
wal_xhSiHvmCAKZQXz,0332d57355d673e217238ce3e4be8491aa6b2a13f95494133ee243e57df1653ace,no,,@user5340257311796204 on Fountain,data/podcast-value-feeds-2025-10-01.json
01buX7Sy8lvFgVYfJ5Yyio,03b6f613e88bd874177c28c6ad83b3baba43c4c656f56be1f8df84669556054b79,yes,[object Object],lancehodl@fountain.fm,data/podcast-value-feeds-2025-10-01.json
nFnZJekqzSlKTldXAmA8,030a58b8653d32b99200a2334cfe913e51dc7d155aa0116c176657a4f1722677a3,no,,mgdell@getalby.com,data/podcast-value-feeds-2025-10-01.json
01OcZ2Kbs2NqRgj1qsDT1H,03b6f613e88bd874177c28c6ad83b3baba43c4c656f56be1f8df84669556054b79,yes,[object Object],southernurbanvoice@fountain.fm,data/podcast-value-feeds-2025-10-01.json
hMhBwcB0CmcA8qlNX08Y,030a58b8653d32b99200a2334cfe913e51dc7d155aa0116c176657a4f1722677a3,no,,AllCEUs Counseling CEUs,data/podcast-value-feeds-2025-10-01.json
01yDFWp9voaUh4P9dIAGOG,03b6f613e88bd874177c28c6ad83b3baba43c4c656f56be1f8df84669556054b79,yes,[object Object],isaacmashman@fountain.fm,data/podcast-value-feeds-2025-10-01.json
01x3VG2LoujvJcAUCRKVgp,03b6f613e88bd874177c28c6ad83b3baba43c4c656f56be1f8df84669556054b79,yes,[object Object],losdrugosmendrugos@fountain.fm,data/podcast-value-feeds-2025-10-01.json
01ugzYPpDzqMvJBeelGLTo,03b6f613e88bd874177c28c6ad83b3baba43c4c656f56be1f8df84669556054b79,yes,[object Object],si@fountain.fm,data/podcast-value-feeds-2025-10-01.json
Fi1xn0HdXvnaWJTUlzXn,030a58b8653d32b99200a2334cfe913e51dc7d155aa0116c176657a4f1722677a3,no,,Thriving Now,data/podcast-value-feeds-2025-10-01.json
01adBh1UsU1hiuKFXpFgGT,03b6f613e88bd874177c28c6ad83b3baba43c4c656f56be1f8df84669556054b79,yes,[object Object],officialtrevion@fountain.fm,data/podcast-value-feeds-2025-10-01.json
01statESElyJjssV3xZPE4,03b6f613e88bd874177c28c6ad83b3baba43c4c656f56be1f8df84669556054b79,yes,[object Object],wealthwithoutbaystre@fountain.fm,data/podcast-value-feeds-2025-10-01.json
019YbRkfu35nRHdaBkGCye,03b6f613e88bd874177c28c6ad83b3baba43c4c656f56be1f8df84669556054b79,yes,[object Object],glasscityhumanist@fountain.fm,data/podcast-value-feeds-2025-10-01.json
01YIR6W6cQr0QzdcbdaM1o,03b6f613e88bd874177c28c6ad83b3baba43c4c656f56be1f8df84669556054b79,yes,[object Object],SEND7 Stephen@fountain.fm,data/podcast-value-feeds-2025-10-01.json
qtqHVYq56OFCCG1N9D7c,030a58b8653d32b99200a2334cfe913e51dc7d155aa0116c176657a4f1722677a3,no,,truecrimereporter@getalby.com,data/podcast-value-feeds-2025-10-01.json
17,037286787af9d56b14c285ecd5c9dca37f320622f8403b9c2066849214462830c2,yes,[object Object],Raising Thinkers,data/podcast-value-feeds-2025-10-01.json
01onDx6UFu6DG8QyXVkCjG,03b6f613e88bd874177c28c6ad83b3baba43c4c656f56be1f8df84669556054b79,yes,[object Object],petrik@fountain.fm,data/podcast-value-feeds-2025-10-01.json
01nVvxoGfqF6c5mWtKSyIX,03b6f613e88bd874177c28c6ad83b3baba43c4c656f56be1f8df84669556054b79,yes,[object Object],cfth@fountain.fm,data/podcast-value-feeds-2025-10-01.json
01AmLqv24Fc445aQ3jvB06,03b6f613e88bd874177c28c6ad83b3baba43c4c656f56be1f8df84669556054b79,yes,[object Object],spindashretro@fountain.fm,data/podcast-value-feeds-2025-10-01.json
01o8Zpqqre1SWyIYPOCCPb,03b6f613e88bd874177c28c6ad83b3baba43c4c656f56be1f8df84669556054b79,yes,[object Object],lavish@fountain.fm,data/podcast-value-feeds-2025-10-01.json
wTNpYiVzK1EqHwFuK4kY,030a58b8653d32b99200a2334cfe913e51dc7d155aa0116c176657a4f1722677a3,no,,SirVoBlitz,data/podcast-value-feeds-2025-10-01.json
5mZYvK0KkmbXcam43VC6,030a58b8653d32b99200a2334cfe913e51dc7d155aa0116c176657a4f1722677a3,no,,cottongin,data/podcast-value-feeds-2025-10-01.json
01OzNAzO9LHnky6T0Jm43S,03b6f613e88bd874177c28c6ad83b3baba43c4c656f56be1f8df84669556054b79,yes,[object Object],boobury@fountain.fm,data/podcast-value-feeds-2025-10-01.json
unLU40SXU1G1iFYM7oqB,030a58b8653d32b99200a2334cfe913e51dc7d155aa0116c176657a4f1722677a3,no,,boobury@getalby.com,data/podcast-value-feeds-2025-10-01.json
swImxW0grJjvcDf0fNNF,030a58b8653d32b99200a2334cfe913e51dc7d155aa0116c176657a4f1722677a3,no,,voidzero@getalby.com,data/podcast-value-feeds-2025-10-01.json
015UFe4P5iHjGoPE1tRG2P,03b6f613e88bd874177c28c6ad83b3baba43c4c656f56be1f8df84669556054b79,yes,[object Object],user474023350847982@fountain.fm,data/podcast-value-feeds-2025-10-01.json
01D6YhTr4oYiv1Yph3eiQO,03b6f613e88bd874177c28c6ad83b3baba43c4c656f56be1f8df84669556054b79,yes,[object Object],user39315857@fountain.fm,data/podcast-value-feeds-2025-10-01.json
4oYugFfl6VQzaU0FMT9i,030a58b8653d32b99200a2334cfe913e51dc7d155aa0116c176657a4f1722677a3,no,,evilgeniuschronicles@getalby.com,data/podcast-value-feeds-2025-10-01.json
01IXDczdOsREdx6zyjNDDL,03b6f613e88bd874177c28c6ad83b3baba43c4c656f56be1f8df84669556054b79,yes,[object Object],dj monty@fountain.fm,data/podcast-value-feeds-2025-10-01.json
01ML49KW10vNxbAfyOm2Li,03b6f613e88bd874177c28c6ad83b3baba43c4c656f56be1f8df84669556054b79,yes,[object Object],pentaradio@fountain.fm,data/podcast-value-feeds-2025-10-01.json
HK6wrNvddbmwpG2kCILs,030a58b8653d32b99200a2334cfe913e51dc7d155aa0116c176657a4f1722677a3,no,,Podcaster (on Alby),data/podcast-value-feeds-2025-10-01.json
01iIL48P3dPVZw4uHhxLFZ,03b6f613e88bd874177c28c6ad83b3baba43c4c656f56be1f8df84669556054b79,yes,[object Object],duckxinc@fountain.fm,data/podcast-value-feeds-2025-10-01.json
018OoeWxo7AqxG6r0mvVTc,03b6f613e88bd874177c28c6ad83b3baba43c4c656f56be1f8df84669556054b79,yes,[object Object],addison33@fountain.fm,data/podcast-value-feeds-2025-10-01.json
01T7IGqa9H0CpSwX3sHM4d,03b6f613e88bd874177c28c6ad83b3baba43c4c656f56be1f8df84669556054b79,yes,[object Object],gmp@fountain.fm,data/podcast-value-feeds-2025-10-01.json
R7cJyyaLznaHWdH0yDcY,030a58b8653d32b99200a2334cfe913e51dc7d155aa0116c176657a4f1722677a3,no,,Podcaster (on Alby),data/podcast-value-feeds-2025-10-01.json
1EYzF1M8Q6fF4W8ekaQU,030a58b8653d32b99200a2334cfe913e51dc7d155aa0116c176657a4f1722677a3,no,,detrasdelbar@getalby.com,data/podcast-value-feeds-2025-10-01.json
3,03a12caeaa1507fc72de5a614555d6c450be1998997b4fda1ed77f432d39704e46,yes,[object Object],blocktrainerpodcast@getalby.com,data/podcast-value-feeds-2025-10-01.json
01NXgPqd0UbfbTOHXIsjjw,03b6f613e88bd874177c28c6ad83b3baba43c4c656f56be1f8df84669556054b79,yes,[object Object],alexgalvez@fountain.fm,data/podcast-value-feeds-2025-10-01.json
01BGWPnuFxuGwcJ1GnGntt,03b6f613e88bd874177c28c6ad83b3baba43c4c656f56be1f8df84669556054b79,yes,[object Object],livetoshoot@fountain.fm,data/podcast-value-feeds-2025-10-01.json
0130eTM8ntEZUqV7GAKOpM,03b6f613e88bd874177c28c6ad83b3baba43c4c656f56be1f8df84669556054b79,yes,[object Object],jimmybrr@fountain.fm,data/podcast-value-feeds-2025-10-01.json
01GDGXg9ab2mm2WbGME88c,03b6f613e88bd874177c28c6ad83b3baba43c4c656f56be1f8df84669556054b79,yes,[object Object],user28535049@fountain.fm,data/podcast-value-feeds-2025-10-01.json
3D7tmTzqtaFirMqZZFfA,030a58b8653d32b99200a2334cfe913e51dc7d155aa0116c176657a4f1722677a3,no,,ephemerajubilant816360@getalby.com,data/podcast-value-feeds-2025-10-01.json
b2AggrMWzseDx51V5e2c,030a58b8653d32b99200a2334cfe913e51dc7d155aa0116c176657a4f1722677a3,no,,Buzzsprout (Podcaster),data/podcast-value-feeds-2025-10-01.json
01zV6F9Tgk9H2cm5fLIb0q,03b6f613e88bd874177c28c6ad83b3baba43c4c656f56be1f8df84669556054b79,yes,[object Object],user86548291@fountain.fm,data/podcast-value-feeds-2025-10-01.json
aEUCVGl2JLBRGz3IrkwX,030a58b8653d32b99200a2334cfe913e51dc7d155aa0116c176657a4f1722677a3,no,,moefactz@getalby.com,data/podcast-value-feeds-2025-10-01.json
pplhW2niMBWlqrtpkxMT,030a58b8653d32b99200a2334cfe913e51dc7d155aa0116c176657a4f1722677a3,no,,Werewolf Therewolf,data/podcast-value-feeds-2025-10-01.json
vomToylBMHMsg503I2z5,030a58b8653d32b99200a2334cfe913e51dc7d155aa0116c176657a4f1722677a3,no,,Disctopia,data/podcast-value-feeds-2025-10-01.json
01TwZK9IloeKxGXy7Wdobx,03b6f613e88bd874177c28c6ad83b3baba43c4c656f56be1f8df84669556054b79,yes,[object Object],gonnavarroes@fountain.fm,data/podcast-value-feeds-2025-10-01.json
01iGnbHs9OP34X7Rii8Yor,03b6f613e88bd874177c28c6ad83b3baba43c4c656f56be1f8df84669556054b79,yes,[object Object],mve@fountain.fm,data/podcast-value-feeds-2025-10-01.json
015WUqWAwOEP3hzWjWnjE8,03b6f613e88bd874177c28c6ad83b3baba43c4c656f56be1f8df84669556054b79,yes,[object Object],user50008345@fountain.fm,data/podcast-value-feeds-2025-10-01.json
01B457ycLVYJ9LPPFTNQQU,03b6f613e88bd874177c28c6ad83b3baba43c4c656f56be1f8df84669556054b79,yes,[object Object],podcastbestie@fountain.fm,data/podcast-value-feeds-2025-10-01.json
01i1ZYZp0tfe0w8kDtcvsB,03b6f613e88bd874177c28c6ad83b3baba43c4c656f56be1f8df84669556054b79,yes,[object Object],1159media@fountain.fm,data/podcast-value-feeds-2025-10-01.json
BrB9tsZX7x6TikHg8EUn,030a58b8653d32b99200a2334cfe913e51dc7d155aa0116c176657a4f1722677a3,no,,Supernerd,data/podcast-value-feeds-2025-10-01.json
wal_ktKdLjpXJtTdjk,0332d57355d673e217238ce3e4be8491aa6b2a13f95494133ee243e57df1653ace,no,,@podcasthero on Fountain,data/podcast-value-feeds-2025-10-01.json
01OTg4S1HvtgiNRnLqcmUm,03b6f613e88bd874177c28c6ad83b3baba43c4c656f56be1f8df84669556054b79,yes,[object Object],judithculp@fountain.fm,data/podcast-value-feeds-2025-10-01.json
0101TSjskWS0tb6L7xkN33,03b6f613e88bd874177c28c6ad83b3baba43c4c656f56be1f8df84669556054b79,yes,[object Object],taylormarek@fountain.fm,data/podcast-value-feeds-2025-10-01.json
01abKJKkkTBYEQFECOgCyN,03b6f613e88bd874177c28c6ad83b3baba43c4c656f56be1f8df84669556054b79,yes,[object Object],garyleland@fountain.fm,data/podcast-value-feeds-2025-10-01.json
01T6YOlDvLHSzTRPyDUrBw,03b6f613e88bd874177c28c6ad83b3baba43c4c656f56be1f8df84669556054b79,yes,[object Object],justx@fountain.fm,data/podcast-value-feeds-2025-10-01.json
